Game,Opponent,PlayerA_Score,PlayerB_Score,Cumulative_Score,CCs,DDs,Winner
39293,UCBPlayer,122,227,349,20,57,UCBPlayer
39294,UCBPlayer,109,259,368,15,49,UCBPlayer
39295,UCBPlayer,118,218,336,16,60,UCBPlayer
39296,UCBPlayer,117,267,384,19,45,UCBPlayer
39297,UCBPlayer,110,210,320,12,64,UCBPlayer
39298,UCBPlayer,126,271,397,23,42,UCBPlayer
39299,UCBPlayer,105,210,315,10,65,UCBPlayer
39300,UCBPlayer,130,275,405,25,40,UCBPlayer
39301,UCBPlayer,105,210,315,10,65,UCBPlayer
39302,UCBPlayer,130,275,405,25,40,UCBPlayer
39303,UCBPlayer,106,206,312,10,66,UCBPlayer
39304,UCBPlayer,130,275,405,25,40,UCBPlayer
39305,UCBPlayer,105,210,315,10,65,UCBPlayer
39306,UCBPlayer,131,271,402,25,41,UCBPlayer
39307,UCBPlayer,105,210,315,10,65,UCBPlayer
39308,UCBPlayer,130,275,405,25,40,UCBPlayer
39309,UCBPlayer,105,210,315,10,65,UCBPlayer
39310,UCBPlayer,130,275,405,25,40,UCBPlayer
39311,UCBPlayer,103,203,306,10,68,UCBPlayer
39312,UCBPlayer,128,283,411,25,38,UCBPlayer
39313,UCBPlayer,111,186,297,10,71,UCBPlayer
39314,UCBPlayer,124,299,423,25,34,UCBPlayer
39315,UCBPlayer,115,170,285,10,75,UCBPlayer
39316,UCBPlayer,120,315,435,25,30,UCBPlayer
39317,UCBPlayer,119,154,273,10,79,UCBPlayer
39318,UCBPlayer,112,332,444,25,27,UCBPlayer
39319,UCBPlayer,127,137,264,10,82,UCBPlayer
39320,UCBPlayer,104,349,453,25,24,UCBPlayer
39321,UCBPlayer,126,126,252,7,85,Tie
39322,UCBPlayer,111,351,462,28,22,UCBPlayer
39323,UCBPlayer,116,126,242,3,87,UCBPlayer
39324,UCBPlayer,122,347,469,32,21,UCBPlayer
39325,UCBPlayer,107,132,239,0,87,UCBPlayer
39326,UCBPlayer,132,337,469,35,22,UCBPlayer
39327,UCBPlayer,103,148,251,0,83,UCBPlayer
39328,UCBPlayer,136,321,457,35,26,UCBPlayer
39329,UCBPlayer,99,164,263,0,79,UCBPlayer
39330,UCBPlayer,140,305,445,35,30,UCBPlayer
